بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم,Bani Waleed - Tawrgha - Bugreen - Al Washka - Zamzam - BuNageem,سرت
منطقة الجفرة وتشمل: ودان - هون - سوكنة - زله - الفقهة,Mantiga Gafra: Widan - Hon - Sukta - Zila - Fagha,سرت
راس لانوف - السدرة - سرت,Ras lanoof - Elsidra - Sirt,سرت
مصراتة,Musrata,مصراتة
زليتن,Zlitn,مصراتة
الخمس - سوق الخميس - غنيمة - قصر الاخيار,AlKhumus - Soog Alkhamees - Ghneema - Gasr Al Akhyar,مصراتة
ترهونة - مسلاته,Tarhoona - Muslata,مصراتة
القره بوللي - تاجوراء - سوق الجمعة,Algara Bolli- Tajora- Soog ALgom3a,طرابلس
أبوسليم - عين زارة,Abu Saleem - Ain Zara,طرابلس
حي الاندلس - طرابلس المركز - جنزور,Hai Alandlus - Tarablus Almarkz - Ganzoor,طرابلس
الماية - الزهراء - الناصرية - العزيزية - سواني بن أدم - قصر بن غشير- امسيحل - السائح - السبيعة,Almaia - Alzahra - Alnasriya - AL aziziya - Sawani bin adam - Gasr bin Ghasheer - Amsi7il - Alsaih - Al sabia,طرابلس
الزاوية,Al Zawiya,الزاوية
صرمان - صبراتة,Sarman - Sobrata,الزاوية
زوارة,Zoara,الزاوية
العجيلات - راقدالين - الجميل - زلطن,Al ajilat - Ragdalieen - AL gameel- Zaltan,الزاوية
مدن الجبل بكافة قراها,All Aljabal cities,الزاوية
غدوة - سمنو - تمهنت - الزيفن,Ghadwa - Samno - Tamanht - Alzayfn,سبها
القرضة - الثانوية - حي الكرامة,Alghirda - Althanawiya - Hai Alkarama,سبها
قعيد - المنشية,Ghaied - Almanshiya,سبها
الجديد - سكرة - حي عبد الكافي,Algadeed - Sokkra - Hai Abdelkafi,سبها
الناصرية - حجارة  المهدية,Al Nasriya - Hajart AL Mahdiya,سبها
براك - اشكده - زلواز - قيرة - الزوية,Brak - Ashkada - Zilwaz - Ghiera - Ziwiay,سبها
أقار - حي المشاشية - تامزاوه - محروقة - القرضة - ثاروث,Aghar - Hai AL Mshashiya- Tamzawa - Mahrooga - AL gharda - Tawrt,سبها
قطة - برقن- القلة - أبوقدود - الزهراء,Ghata - Brgn - Alghla - Abu Gdood - Alzahra,سبها
ونزاريك - الحطية - تمسان - المنصورة - إدري,Winzareek - AL hatiya - Tamsan - AL mansoora - Idri,سبها
أوباري المدينة - الديسة  الحطية - القعيرات - الغريفة - جرمة,Aubari madina - Aldisa Al hatiya - alghairat - Al ghrifa - Jarma,أوباري
توش - ابريك - الفخفاخة - تويوهالخرائق - قرارقره - تكركيبة - الفجيج,Tosh - Abreek - Alfakhfakha - Toyo Alkhraig - Gharargra - Takrkiba - Alfajeej,أوباري
بنت بيه - القراية - قبر عون - الرقيبة - التناحمة - الزويه - القلعة اخليف - الحمرا -  بن حارث - الأبيض - (مكون الطوارق),Bint Biya - Alghraiya - Ghabr Aon - Al raghiba - AL tanahma - Al ziwiya - Al galaa - Akhleef - AL hamra - Bin Harith - Al abiad,أوباري
مرزق - جيزاو - إدليم - حج حجيل,Marzg- Jizaw - Edleem - Haj Hajeel,أوباري
أم الحمام - دوجال - أقارعتبة - مرحبا - تقروطين - السبيطات - تساوة - الجارن - مكنوسة,Umm El hamam - Dojal - Agar atbah - Marhaba - Tagroteen - Alsabitat - Tasawa - Aljarn - Maknoosa,أوباري
تراغن - فنقل - أم الأرانب - مجدول - تمسه - زويلة,Traghing - Fangil - Umm Elaranib - Majdool - Tamsa - Zawil,أوباري
القطرون - تجرهي - البخي - مدروس - (مكون التبو),Algatrron - Tagrhi - Albkhi - Madroos - Tabu component,أوباري
غات - البركت - الفيوت - تهالا - العوينات,Ghat - Albrkt - Alfyot - Tahala- Aloinat,أوباري
غدامس - سيناون - درج مكون الطوارق,Ghidamis - Sinawon - Daraj - Tawarig component,غدامس
