Canada - Ottawa,أوتاوا - كندا
Canada - Calgary,كالقاري - كندا
Egypt - Cairo,القاهرة - مصر
Germany - Berlin,برلين - ألمانيا
Germany - Bonn,بون - ألمانيا
Jordan - Amman,عمان - الأردن
Ireland - Dublin,دوبلن - ايرلندا
Italy - Rome,روما - ايطاليا
Malaysia - Kuala Lumpur,كوالا لامبور - ماليزيا
Qatar - Doha,الدوحة - قطر
Tunisia - Tunis,تونس - تونس
Turkey - Istanbul,اسطنبول - تركيا
United Arab Emirates - Dubai,دبي - الإمارات العرية المتحدة
United Kingdom - London,لندن - بريطانيا
United Kingdom - Manchester,مانشستر - بريطانيا
United States - Washington DC,واشنطن العاصمة - الولايات المتحدة الأمريكية
United States - Denver,دنفر - الولايات المتحدة الأمريكية
United States - Houston,هيوستن - الولايات المتحدة الأمريكية
United States - Los Angeles,لوس أنجلوس - الولايات المتحدة الأمريكية
